,product,uf,volume,year_month,unit,created_at
151,ÓLEO DIESEL S-10 (m3),MINAS GERAIS,122718.383,2014-01-01,m3,2021-11-19 10:40:49
152,ÓLEO DIESEL S-10 (m3),ESPÍRITO SANTO,19840.35,2014-01-01,m3,2021-11-19 10:40:49
153,ÓLEO DIESEL S-10 (m3),RIO DE JANEIRO,96899.815,2014-01-01,m3,2021-11-19 10:40:49
154,ÓLEO DIESEL S-10 (m3),SÃO PAULO,266790.807,2014-01-01,m3,2021-11-19 10:40:49
155,ÓLEO DIESEL S-10 (m3),PARANÁ,77543.666,2014-01-01,m3,2021-11-19 10:40:49
156,ÓLEO DIESEL S-10 (m3),SANTA CATARINA,612054.306,2014-01-01,m3,2021-11-19 10:40:49
157,ÓLEO DIESEL S-10 (m3),RIO GRANDE DO SUL,60585.175,2014-01-01,m3,2021-11-19 10:40:49
158,ÓLEO DIESEL S-10 (m3),MATO GROSSO DO SUL,28238.2,2014-01-01,m3,2021-11-19 10:40:49
159,ÓLEO DIESEL S-10 (m3),MATO GROSSO,40309.371,2014-01-01,m3,2021-11-19 10:40:49
160,ÓLEO DIESEL S-10 (m3),GOIÁS,50630.481,2014-01-01,m3,2021-11-19 10:40:49
161,ÓLEO DIESEL S-10 (m3),DISTRITO FEDERAL,15254.853,2014-01-01,m3,2021-11-19 10:40:49
162,ÓLEO DIESEL S-500 (m3),RONDÔNIA,59527.8,2014-01-01,m3,2021-11-19 10:40:49
163,ÓLEO DIESEL S-500 (m3),ACRE,11907.08,2014-01-01,m3,2021-11-19 10:40:49
164,ÓLEO DIESEL S-500 (m3),AMAZONAS,23598.5,2014-01-01,m3,2021-11-19 10:40:49
165,ÓLEO DIESEL S-500 (m3),RORAIMA,8780.2,2014-01-01,m3,2021-11-19 10:40:49
166,ÓLEO DIESEL S-500 (m3),PARÁ,109966.713,2014-01-01,m3,2021-11-19 10:40:49
167,ÓLEO DIESEL S-500 (m3),AMAPÁ,32269.1,2014-01-01,m3,2021-11-19 10:40:49
168,ÓLEO DIESEL S-500 (m3),TOCANTINS,49772.45,2014-01-01,m3,2021-11-19 10:40:49
169,ÓLEO DIESEL S-500 (m3),MARANHÃO,968961.4189999999,2014-01-01,m3,2021-11-19 10:40:49
170,ÓLEO DIESEL S-500 (m3),PIAUÍ,36010.8,2014-01-01,m3,2021-11-19 10:40:49
171,ÓLEO DIESEL S-500 (m3),CEARÁ,42096.5,2014-01-01,m3,2021-11-19 10:40:49
172,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO NORTE,54424.05,2014-01-01,m3,2021-11-19 10:40:49
173,ÓLEO DIESEL S-500 (m3),PARAÍBA,32443.66,2014-01-01,m3,2021-11-19 10:40:49
174,ÓLEO DIESEL S-500 (m3),PERNAMBUCO,88770.5,2014-01-01,m3,2021-11-19 10:40:49
175,ÓLEO DIESEL S-500 (m3),ALAGOAS,21169.4,2014-01-01,m3,2021-11-19 10:40:49
176,ÓLEO DIESEL S-500 (m3),SERGIPE,18352.5,2014-01-01,m3,2021-11-19 10:40:49
177,ÓLEO DIESEL S-500 (m3),BAHIA,230482.933,2014-01-01,m3,2021-11-19 10:40:49
178,ÓLEO DIESEL S-500 (m3),MINAS GERAIS,499814.073,2014-01-01,m3,2021-11-19 10:40:49
179,ÓLEO DIESEL S-500 (m3),ESPÍRITO SANTO,76565.994,2014-01-01,m3,2021-11-19 10:40:49
180,ÓLEO DIESEL S-500 (m3),RIO DE JANEIRO,118600.961,2014-01-01,m3,2021-11-19 10:40:49
181,ÓLEO DIESEL S-500 (m3),SÃO PAULO,648227.785,2014-01-01,m3,2021-11-19 10:40:49
182,ÓLEO DIESEL S-500 (m3),PARANÁ,4120736.249,2014-01-01,m3,2021-11-19 10:40:49
